filename,tag,confidence,note
IMG_3794.MOV,host,9,Presenter speaking to camera, mouth open mid-speech, eye contact
IMG_3795.MOV,host,5,Presenter looking down/sideways, weaker engagement
IMG_3797.MOV,host,9,Presenter smiling with eye contact - warm friendly
IMG_3800.MOV,host,8,Presenter speaking to camera, eye contact
IMG_3804.MOV,host,10,HERO presenter shot - arms crossed confident smile, full eye contact
IMG_3807.MOV,host,8,Presenter speaking, eye contact
IMG_3808.MOV,racks,8,Olive yellow pearl rack with gold dragon medallions + cream tile stack
IMG_3809.MOV,racks,8,Olive yellow rack closeup with NORTH character + dragon medallions
IMG_3810.MOV,racks,8,Olive yellow rack tilted + white tile stack on botanical mat
IMG_3811.MOV,detail,7,Cream botanical mat with phoenix artwork detail
IMG_3812.MOV,detail,7,Champagne pearl rack on phoenix bird mat
IMG_3813.MOV,racks,6,Cream rack with green velvet visible underneath
IMG_3814.MOV,racks,7,Cream pearl rack on phoenix mat with green velvet
IMG_3816.MOV,tiles,9,Cream tiles arranged in row on burgundy dragon mat - clear tile detail
IMG_3817.MOV,racks,7,Olive yellow rack WEST character on white botanical mat
IMG_3818.MOV,detail,10,HERO gold dragon artwork closeup on burgundy mat - signature shot
IMG_3819.MOV,mats,7,Hands placing wood rack on blue pagoda mat
IMG_3820.MOV,setup,10,HERO wide blue pagoda mat full square layout with bamboo racks at edges
IMG_3821.MOV,mats,7,Wood rack closeup on blue pagoda mat - texture
IMG_3822.MOV,mats,7,Two wood racks on blue pagoda mat
IMG_3823.MOV,setup,9,Blue pagoda mat wide establishing - full table with chairs
IMG_3824.MOV,setup,9,Blue pagoda mat angled view with bamboo wood racks
IMG_3825.MOV,racks,9,3-color rack showcase angled (gold/white/red) - color story
IMG_3826.MOV,racks,9,3-color rack showcase angled - alt angle
IMG_3827.MOV,racks,8,3-color rack showcase angled - alt
IMG_3828.MOV,racks,8,3-color rack showcase close
IMG_3829.MOV,racks,8,3-color rack straight-on vertical comparison
IMG_3830.MOV,racks,10,HERO 3-color rack top-down angled - cleanest color showcase
IMG_3831.MOV,tiles,8,Tile row over bamboo rack with blue pagoda mat behind
IMG_3832.MOV,tiles,8,Tile row on bamboo rack closeup with blue pagoda mat
IMG_3833.MOV,tiles,9,Tile row vertical detail with blue pagoda mat
IMG_3834.MOV,tiles,9,Tile row angled with blue pagoda mat - good detail
IMG_3835.MOV,tiles,7,Tile row alt angle
IMG_3836.MOV,tiles,8,Tile row on bamboo rack on blue pagoda mat
